"","kelp","substrate","depth","x","y","period","ammonium_spring_mean","ammonium_summer_minimum","currentSpeed_summer_mean","nitrate_summer_minimum","PAR_summer_mean","temperature_summer_mean","turbidity_summer_mean","salinity_summer_mean","slope_5x5","TPI_3x3","substrate_aligned","bathymetry_20","set","cell","Cluster","weight"
"11",1,1,-6.76024770736694,1214159.250097,421747.792475,"2014_2019",1.73314332962036,1.36853206157684,0.687636137008667,7.72680950164795,120.176116943359,12.7869577407837,1.83601772785187,27.9756050109863,8.67442893981934,-0.555009841918945,1,-6.76024770736694,"train",15,4,0.47852348993288
"12",1,1,5.83075714111328,1207387.270062,417303.677852,"2014_2019",1.6717985868454,1.16351687908173,0.752753615379333,6.07226991653442,119.855926513672,13.6762609481812,1.9925616979599,27.0710391998291,11.3596792221069,0.0655970573425293,1,5.83075714111328,"train",16,4,0.47852348993288
"13",1,1,11.7725496292114,1204122.546927,395886.066982,"2014_2019",1.76413834095001,1.66566121578217,0.871004700660706,10.0719327926636,120.20915222168,12.8466558456421,1.51303172111511,28.5321788787842,8.84708023071289,0.224334716796875,1,11.7725496292114,"train",17,4,0.47852348993288
"14",1,1,5.21056842803955,1195644.100315,431359.218492,"2014_2019",1.63196468353271,0.792034387588501,1.36475253105164,3.67635321617126,117.208801269531,14.6578998565674,2.26672387123108,25.6641044616699,20.9834175109863,0.502181529998779,1,5.21056842803955,"train",18,1,1.32037037037036
"15",1,1,1.17164897918701,1211531.076775,421012.889711,"2014_2019",1.69663870334625,1.19527399539948,0.602511703968048,6.33069944381714,118.794532775879,13.377758026123,1.923783659935,27.3774509429932,6.93524122238159,0.0265165567398071,1,1.17164897918701,"train",19,4,0.47852348993288
"16",1,1,12.4929094314575,1200480.656232,398988.310603,"2014_2019",1.79884576797485,1.67601931095123,0.359700500965118,9.9976692199707,119.812683105469,12.9619731903076,1.53073453903198,28.4843673706055,4.0835452079773,-0.213059425354004,1,12.4929094314575,"train",20,4,0.47852348993288
"17",1,1,13.954478263855,1202420.5529,396769.324678,"2014_2019",1.7812340259552,1.69222331047058,0.766688525676727,10.3689270019531,119.967704772949,12.8273630142212,1.51569807529449,28.5858097076416,6.97840309143066,-0.780819892883301,1,13.954478263855,"train",21,4,0.47852348993288
"18",1,1,5.53131437301636,1216668.635726,422674.063143,"2014_2019",1.68500435352325,1.05591857433319,0.883110761642456,5.39415836334229,119.86547088623,13.5106897354126,2.05340433120728,27.0418090820312,28.4791107177734,0.418631076812744,1,5.53131437301636,"train",22,1,1.32037037037036
"19",1,1,1.10026252269745,1157300.488211,376202.08381,"2014_2019",1.53943359851837,1.86825966835022,0.122943073511124,13.7237491607666,115.051109313965,11.6807775497437,0.858336925506592,30.7992420196533,1.20061755180359,0.00428354740142822,1,1.10026252269745,"train",26,2,1.71394230769229
"20",1,1,1.92950117588043,1201291.604903,397681.289207,"2014_2019",1.79452323913574,1.69993686676025,0.453915923833847,10.2526969909668,119.961334228516,12.9501914978027,1.50520026683807,28.5542678833008,6.02216672897339,0.00911045074462891,1,1.92950117588043,"train",29,4,0.47852348993288
